 xx就要多读书-,还掉色  我的滤镜撑不下去了  不！搞！丑！的！//@开光佛珠_ :成功教育大家一胖毁所有
ff-mino,多学多看多思考 保持开心快乐 交际加油！继续爱mino?  晚安 //@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
FREEDOM平,唉太心声太真实 “貴方との時間は いまや夢のよう” etnw过去两年半 现在一想到没有收录以后live可能都不会收录 还是疯狂流泪 怀疑我到底去看了还是一切都是臆想的梦……现在是数着能见他的日子撑下去的 谁知道还能这样高强度追他多久 我最喜欢的solo live 能不能出张碟求求了 说到自己都觉得烦唉
FREEDOM平,唉太心声太真实 “貴方との時間は いまや夢のよう” etnw过去两年半 现在一想到没有收录以后live可能都不会收录 还是疯狂流泪 怀疑我到底去看了还是一切都是臆想的梦……现在是数着能见他的日子撑下去的 谁知道还能这样高强度追他多久 我最喜欢的solo live 能不能出张碟求求了 说到自己都觉得烦唉
FREEDOM平,唉太心声太真实 “貴方との時間は いまや夢のよう” etnw过去两年半 现在一想到没有收录以后live可能都不会收录 还是疯狂流泪 怀疑我到底去看了还是一切都是臆想的梦……现在是数着能见他的日子撑下去的 谁知道还能这样高强度追他多久 我最喜欢的solo live 能不能出张碟求求了 说到自己都觉得烦唉
fullsun1171,#利特0701生日快乐# //@浅光ShallowBlue:希真姐评论：特儿生日快乐?  查看图片
Fx黑脚1_,最爱的honey甜美香甜可口软糯美味的小葵猪 一周年快乐 亲亲 ?
Gio_莫太,生日快乐?
GraceGuo--,学会比以前快乐，对某些人；1；简直就是浪费感情。满腔。 ?
GucciGaga,每个晚上两点睡着好辛苦阿我撑不下去 ?
Gynnn君_,国内音乐剧就因为你们这些高贵的人发展不起来呢也不看看多少公司因为赔钱做剧撑不下去了//@暴躁的过气选手://@naccifuckyouall:晕了，满嘴自诩高贵的恶臭熏得我一个激灵，竟然能跟这种高贵人一起看音乐剧也是我的三生有幸
Gynnn君_,国内音乐剧就因为你们这些高贵的人发展不起来呢也不看看多少公司因为赔钱做剧撑不下去了//@暴躁的过气选手://@naccifuckyouall:晕了，满嘴自诩高贵的恶臭熏得我一个激灵，竟然能跟这种高贵人一起看音乐剧也是我的三生有幸
Hcyyyyy_Sweet,永远年轻生日快乐? ?
Hd先情8_y,内心总有块柔软的地方为你留着 只要你一触碰到我就会妥协 很会口是心非 但真心希望你开心快乐 ?
HEE澈澈澈澈啊,特儿生日快乐呀?  ?  ?
hejdidocbshaklendj,生日快乐 ?
Hell3rGoh螺,森日快乐呀大帅哥
Hello米小乐,可以了可以了 一本满足 今天有壁咚就够我撑下去了！！明天名场面玫瑰吻就要来了 激动的我睡不着哈哈哈哈 ?
Hello米小乐,可以了可以了 一本满足 今天有壁咚就够我撑下去了！！明天名场面玫瑰吻就要来了 激动的我睡不着哈哈哈哈 ?
Hetun本豚,生日快乐！！一切都好！！很快见面！！
Hey就不能找个大点的碗么,#上海垃圾分类个人扔错罚款#   自从开始实行垃圾分类以后，本来吃不完的外卖，通通逼自己撑下去。  好！烦！ ?
high_pressure_turbine,//@可爱的外表下一定隐藏着什么://@M大王叫我来巡山:都是极富年代感的照片，好棒啊，最纯的笑最美的童年和最真的成长。//@江南大野花: 纯真的笑脸快乐的童年，特别看到几个小朋友长大后举着当年的照片有点感动//@青艸堂:這篇文章特別採訪了36年後被找到的「小朋友們」。感謝每日人物的用心！
honeypollywoo,奔三的感觉真累，可一休息又有原罪感。。九点就去睡觉，满心羞愧，可真撑不下去了 ?
huangchangping汤光翠,蔡徐坤坤坤新年快乐，新的一年一起笑出来 ?
HuangXvJie,许愿七月顺利? 跟2019上半年说再见了，时间过的好快！希望上半年一切不如意都忘却，不好的差强人意的事通通走开，未来能更好地迎接快乐～希望各种幸运接踵而至。愿我严以律己，甜以待人～以后也要加油鸭！！喜欢什么就要努力得到，不给自己找借口。多看书少吃饭。嘻嘻 ?
HXNEX,李泰容小容生日快乐！我不能承诺说永远喜欢你但是在我喜欢你时我会付出我的全部真心 ?
Hyacinth201601,#极限挑战#每个日子都淡淡地来又淡淡地去快乐与忧伤 ?
Hyun_Chen小美,最好的朴正洙，最好的队长，生日快乐
ISEE胡萝卜,#0713王子异生日快乐# 我也是舍不得舞台相关的你啊 不管怎么样就是一起@王子异
Ivanwen钧,#2019只剩一半#我的童年充满了快乐，趣味和甜蜜；我的童年是一颗颗闪亮的小星星，一直照耀着我的未来。 ?
IVY桢,1、学会温和，对人对事，不要随意发脾气，谁都不欠你的。2、 学会宽容，每个人都有自己的难处，大家都不容易。3、学会放弃，拽的越紧，痛苦的是自己。 4、学会低调，取舍间，必有得失，不用太计较。5、学会简单，踏实而务实，不庸人自扰，越简单越快乐。6、学会忘记[泪流满面]#哇咔咔西西#，善忘是一件 ?  展开全文c
Ix义各4_d,祝全天下的爸爸节日快乐我自私一点啊希望我的爸爸 和 我爱的人的爸爸 双倍快乐每一天都快乐 ?
iYooYi小千春,#王晨艺孤影游戏直播#等待着下课，等待着放学，等待的童年。童年的歌谣依旧，只是我们已经长大。何不抛下生活的重负，重温儿时的快乐。 ?
iyugaaaa,#越反越爱-林宥嘉# /#林宥嘉0701生日快乐# /#林宥嘉idol世界巡回演唱会#
iyugaaaa,好清澈！#林宥嘉0701生日快乐# /#林宥嘉idol世界巡回演唱会#
I局外人U,我期待着一个好消息的降临 把我从这潭不知名的苦水中捞出来 无论是一个突如其来的开始也好 一个盼念着的结果也好 我相信一定会有点什么东西给我带来快乐 我坚守着这样的希望 日复一日蹉跎。—— ?
jeson刘,"收拾一下，明天把重要东西放其他出租屋就行了。都没错，只是我自己做的不好，太极端了。回家好好学。趁暑假去目标院校转转，感受一下同龄人的努力。peer  pressure!现在经历的事对我来说是成长，是激励。如果生活让你不开心就是你离成功不远了。a smile, is not a big deal！加油！我得自己撑下去，才 ?  展开全文c"
JIFFA,鸡崽崽快乐长大@日天日地钦仔仔  @陈八虎啊  @热心网友小鹅  @_OXXW
JoJo姣姣吖,mo mo 这辈子我做的错事太多，活的好累，假如有一天，我真的撑不下去，或发生什么意外，我想让你做俊俊的干妈，替我照顾他。然后每年都去我家看我爸妈。。。此条信息长期有效。。。常用应用密码都是我的名字全拼加手机后四位 ?
JoJo姣姣吖,mo mo 这辈子我做的错事太多，活的好累，假如有一天，我真的撑不下去，或发生什么意外，我想让你做俊俊的干妈，替我照顾他。然后每年都去我家看我爸妈。。。此条信息长期有效。。。常用应用密码都是我的名字全拼加手机后四位 ?
jttlalm,大王保佑我七月的第一周也就是下周过得顺顺利利开开心心快快乐乐幸福甜蜜！保佑工作少点烦心事少点人和事找茬挑刺！保佑我和男朋友感情稳定越来越好越来越幸福甜蜜！保佑我们多约会多见面多腻在一起！? ? ?
Junedairy,请一直努力 不要放弃任何改变自己的机会//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
jxKLX-挂号信otm,人是可以快乐地生活的，只是我们自己选择了复杂，选择了叹息！ ?
khjNz-背城一skl,"钱很重要，可以帮我们完成很多人生的梦想。但是人生真正的快乐有时和钱并没有太多的关系。我希望每个人都能快乐的赚钱,潇洒的花钱。但是觉不能做钱的奴隶。 ?"
Kim_number,快乐幸福//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
Kimi妈_,一定要康复！健健康康开开心心的！//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
Kiwiissolonely-,#李泰容0701生日快乐# 生日快乐呀！
Kkw的杨小妮儿,累了撑不下去的时候就看看这个视频，瞬间充满正能量@王凯kkw 我的眼里只有你，全是你
Kkw的杨小妮儿,累了撑不下去的时候就看看这个视频，瞬间充满正能量@王凯kkw 我的眼里只有你，全是你
Klein-Blue_,二〇一九年的七月快乐??
Klery007,很多人不刻意的见面 真的是见不到呀，行为于表面 ，把她放在心底，喜欢你这条路，我走的很不容易 ，一撑不下去，就想尝鲜，想有所缓解，却也是无济于事，得到误解 。这样也好。所谓感情，要么抹去，要么埋心苦笑，用最孤独的时光，塑造最好的自己，这样也好。这样也好，对方心上有人，更加大可不必 ?  展开全文c
Klery007,很多人不刻意的见面 真的是见不到呀，行为于表面 ，把她放在心底，喜欢你这条路，我走的很不容易 ，一撑不下去，就想尝鲜，想有所缓解，却也是无济于事，得到误解 。这样也好。所谓感情，要么抹去，要么埋心苦笑，用最孤独的时光，塑造最好的自己，这样也好。这样也好，对方心上有人，更加大可不必 ?  展开全文c
K-暮暖,颜值真的是正义。比如男主的颜可以让我撑着想看完整部剧？可是我觉得我现在是不是理解能力有问题，觉得男女主的感情线好迷，而且感觉女主智商不在线甚至女二出来的更希望男主喜欢的是她？希望她是女主配置啊，青梅竹马诶，男主喜欢的是她多好看不下去了哇， ?  展开全文c
L1-alone,宝贝，上半年已结束，无论发生过什么事情，无论开心或难过，下半年我们肯定都会是开心快乐的，下半年我一定不会让你失望，不会让你难过和伤心。我爱你?? 2武汉·鹏程花园 ?
LANoyadeGirL,喜欢过很多歌手 唯独只爱你一个 你是我在失去至亲最艰难那段时间陪着的虚拟人物 于我来讲 你不仅仅是个爱豆 更是我撑下去的理由 认识你也是巧合 在欧美男歌手分类 你的A开头刚好在前面 你的每首歌我都背得滚瓜烂熟 你来过中国两次演唱会 一次中考一次高考 每一次都错过 为了接近你我拼死学英语 为了给 ?  展开全文c
leeepv,普普通通平平凡凡快快乐乐就很好了//@難自渡:太可爱了！
lemonlingo,-累到瘦了三四斤，到达我近几年体重最低点，再这样下去感觉身体撑不住。别人情绪不好吃很多我一焦虑啥都不想吃。感觉把自己都抛弃了。 ?
lemonlingo,-累到瘦了三四斤，到达我近几年体重最低点，再这样下去感觉身体撑不住。别人情绪不好吃很多我一焦虑啥都不想吃。感觉把自己都抛弃了。 ?
Lemontree啊哈,希望自己能永保初心，亲爱的你，生日快乐！今年生日有2大愿望，1是希望你能是不是得给我们的婚姻加点婚姻保鲜剂，2是希望今年体重能降到2位数！祝我自己梦想成真? ? ?  ?
lenin-leo,//@北国佳人李春姬:时代前进的痕迹//@Tiger公子://@纯良英俊的笑了笑:太奇妙了，36年后的对比照莫名感动//@江南大野花:纯真的笑脸快乐的童年，特别看到几个小朋友长大后举着当年的照片有点感动//@月刊勇者KuMa君:牛逼，这才是拍照的意义所在，留下故事//@青艸堂:這篇文章特別採訪了36年後被找到的「小
leotanything,//@动漫节操君://@国漫频道:7.1生快? 要一直微笑哦//@日推_日常:生快！永远爱最温柔善良的你//@一起走过二次元:夏目小天使生快? 永远爱你//@我掉了一只龙猫: 生日快乐啊呐滋咩愿七月能像你一样美好
